filename,label
corrosion/6072752.jpg,corrosion
corrosion/6109816.jpg,corrosion
corrosion/6071922.jpg,corrosion
corrosion/8061565.jpg,corrosion
corrosion/9352630.jpg,corrosion
corrosion/6040352.jpg,corrosion
corrosion/7761026.jpg,corrosion
corrosion/6028822.jpg,corrosion
corrosion/6027522.jpg,corrosion
corrosion/6088631.jpg,corrosion
corrosion/8011929.jpg,corrosion
corrosion/6076375.jpg,corrosion
corrosion/6048877.jpg,corrosion
corrosion/6122421.jpg,corrosion
corrosion/6034883.jpg,corrosion
corrosion/9895655.jpg,corrosion
corrosion/6456728.jpg,corrosion
corrosion/6030814.jpg,corrosion
corrosion/8877934.jpg,corrosion
corrosion/6097969.jpg,corrosion
corrosion/6062483.jpg,corrosion
corrosion/6067957.jpg,corrosion
corrosion/8538876.jpg,corrosion
corrosion/6382670.jpg,corrosion
corrosion/6321976.jpg,corrosion
corrosion/6028573.jpg,corrosion
corrosion/6095815.jpg,corrosion
corrosion/7964006.jpg,corrosion
corrosion/6129086.jpg,corrosion
corrosion/6092534.jpg,corrosion
corrosion/8722731.jpg,corrosion
corrosion/6057349.jpg,corrosion
corrosion/6092242.jpg,corrosion
corrosion/6035028.jpg,corrosion
corrosion/6105287.jpg,corrosion
corrosion/8306356.jpg,corrosion
corrosion/6090394.jpg,corrosion
corrosion/6042717.jpg,corrosion
corrosion/6031012.jpg,corrosion
corrosion/6029058.jpg,corrosion
corrosion/6837781.jpg,corrosion
corrosion/6034829.jpg,corrosion
corrosion/6854507.jpg,corrosion
corrosion/6045553.jpg,corrosion
corrosion/6034162.jpg,corrosion
corrosion/6092548.jpg,corrosion
corrosion/6066994.jpg,corrosion
corrosion/6029913.jpg,corrosion
corrosion/9755627.jpg,corrosion
corrosion/8306200.jpg,corrosion
corrosion/6083815.jpg,corrosion
corrosion/8076098.jpg,corrosion
corrosion/6071253.jpg,corrosion
corrosion/6124431.jpg,corrosion
corrosion/6321978.jpg,corrosion
corrosion/6082923.jpg,corrosion
corrosion/6033422.jpg,corrosion
corrosion/8721772.jpg,corrosion
corrosion/6226858.jpg,corrosion
corrosion/6077591.jpg,corrosion
corrosion/6821563.jpg,corrosion
corrosion/8095437.jpg,corrosion
corrosion/6028382.jpg,corrosion
corrosion/8539816.jpg,corrosion
corrosion/6030778.jpg,corrosion
corrosion/7940711.jpg,corrosion
corrosion/6031559.jpg,corrosion
corrosion/6028095.jpg,corrosion
