epoch,train_loss,val_loss,train_acc,val_acc
1,0.32149317311999315,0.1033934436738491,0.883401062832135,0.9775
2,0.039835773029944864,0.06753708750009536,0.9906220693966865,0.9775
3,0.011837232124879048,0.05190594890154898,0.9978118161925602,0.9875
4,0.004244000863976178,0.061260717287659645,0.9990622069396686,0.9825
5,0.005619909133378995,0.0788347961427644,0.9990622069396686,0.9825
6,0.007598927042864219,0.05271479973569512,0.9984370115661144,0.9875
7,0.0020722292143149604,0.04693101502489298,1.0,0.9875
8,0.0011026954850136884,0.0476328310649842,1.0,0.99
9,0.0006309653696555018,0.05111314728390425,1.0,0.99
10,0.0023789559195027607,0.06138578786805738,0.9990622069396686,0.9775
11,0.0010362413905665195,0.06235393071721774,1.0,0.9825
12,0.002307811473774032,0.039337385879189245,0.9993748046264458,0.99
13,0.0009073960880430724,0.049952301100129264,1.0,0.9875
14,0.00024807180402406395,0.05183446322014788,1.0,0.9875
15,0.0003691432255063657,0.04814300120633561,1.0,0.9875
